instant,dteday,season,year,month,hours,holiday,one_of_week,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count_cr,category_days,humidity_category,work_hours
32,2011-01-02,Spring,2011,Jan,8,0,Sunday,Light_rainsnow,0.4,0.4091,71.0,0.2239,0,8,8,Weekend,Terlalu Lembab,Work Hours
33,2011-01-02,Spring,2011,Jan,9,0,Sunday,Misty,0.38,0.3939,76.0,0.2239,1,19,20,Weekend,Terlalu Lembab,Work Hours
34,2011-01-02,Spring,2011,Jan,10,0,Sunday,Misty,0.36,0.3485,81.0,0.2239,7,46,53,Weekend,Terlalu Lembab,Work Hours
35,2011-01-02,Spring,2011,Jan,11,0,Sunday,Misty,0.36,0.3333,71.0,0.2537,16,54,70,Weekend,Terlalu Lembab,Work Hours
36,2011-01-02,Spring,2011,Jan,12,0,Sunday,Misty,0.36,0.3333,66.0,0.2985,20,73,93,Weekend,Terlalu Lembab,Work Hours
37,2011-01-02,Spring,2011,Jan,13,0,Sunday,Misty,0.36,0.3485,66.0,0.1343,11,64,75,Weekend,Terlalu Lembab,Work Hours
38,2011-01-02,Spring,2011,Jan,14,0,Sunday,Light_rainsnow,0.36,0.3485,76.0,0.194,4,55,59,Weekend,Terlalu Lembab,Work Hours
39,2011-01-02,Spring,2011,Jan,15,0,Sunday,Light_rainsnow,0.34,0.3333,81.0,0.1642,19,55,74,Weekend,Terlalu Lembab,Work Hours
40,2011-01-02,Spring,2011,Jan,16,0,Sunday,Light_rainsnow,0.34,0.3333,71.0,0.1642,9,67,76,Weekend,Terlalu Lembab,Work Hours
41,2011-01-02,Spring,2011,Jan,17,0,Sunday,Clear,0.34,0.3333,56.99999999999999,0.194,7,58,65,Weekend,Ideal,Non-Work Hours
42,2011-01-02,Spring,2011,Jan,18,0,Sunday,Misty,0.36,0.3333,46.0,0.3284,10,43,53,Weekend,Ideal,Non-Work Hours
43,2011-01-02,Spring,2011,Jan,19,0,Sunday,Clear,0.32,0.2879,42.0,0.4478,1,29,30,Weekend,Terlalu kering,Non-Work Hours
44,2011-01-02,Spring,2011,Jan,20,0,Sunday,Clear,0.3,0.2727,39.0,0.3582,5,17,22,Weekend,Terlalu kering,Non-Work Hours
45,2011-01-02,Spring,2011,Jan,21,0,Sunday,Clear,0.26,0.2273,44.0,0.3284,11,20,31,Weekend,Terlalu kering,Non-Work Hours
46,2011-01-02,Spring,2011,Jan,22,0,Sunday,Clear,0.24,0.2121,44.0,0.2985,0,9,9,Weekend,Terlalu kering,Non-Work Hours
47,2011-01-02,Spring,2011,Jan,23,0,Sunday,Clear,0.22,0.2273,47.0,0.1642,0,8,8,Weekend,Ideal,Non-Work Hours
48,2011-01-03,Spring,2011,Jan,0,0,Monday,Clear,0.22,0.197,44.0,0.3582,0,5,5,Weekday,Terlalu kering,Non-Work Hours
49,2011-01-03,Spring,2011,Jan,1,0,Monday,Clear,0.2,0.1667,44.0,0.4179,0,2,2,Weekday,Terlalu kering,Non-Work Hours
50,2011-01-03,Spring,2011,Jan,4,0,Monday,Clear,0.16,0.1364,47.0,0.3881,0,1,1,Weekday,Ideal,Non-Work Hours
51,2011-01-03,Spring,2011,Jan,5,0,Monday,Clear,0.16,0.1364,47.0,0.2836,0,3,3,Weekday,Ideal,Non-Work Hours
52,2011-01-03,Spring,2011,Jan,6,0,Monday,Clear,0.14,0.1061,50.0,0.3881,0,30,30,Weekday,Ideal,Non-Work Hours
53,2011-01-03,Spring,2011,Jan,7,0,Monday,Clear,0.14,0.1364,50.0,0.194,1,63,64,Weekday,Ideal,Work Hours
54,2011-01-03,Spring,2011,Jan,8,0,Monday,Clear,0.14,0.1212,50.0,0.2836,1,153,154,Weekday,Ideal,Work Hours
55,2011-01-03,Spring,2011,Jan,9,0,Monday,Clear,0.16,0.1364,43.0,0.3881,7,81,88,Weekday,Terlalu kering,Work Hours
56,2011-01-03,Spring,2011,Jan,10,0,Monday,Clear,0.18,0.1667,43.0,0.2537,11,33,44,Weekday,Terlalu kering,Work Hours
57,2011-01-03,Spring,2011,Jan,11,0,Monday,Clear,0.2,0.1818,40.0,0.3284,10,41,51,Weekday,Terlalu kering,Work Hours
58,2011-01-03,Spring,2011,Jan,12,0,Monday,Clear,0.22,0.2121,35.0,0.2985,13,48,61,Weekday,Terlalu kering,Work Hours
59,2011-01-03,Spring,2011,Jan,13,0,Monday,Clear,0.24,0.2121,35.0,0.2836,8,53,61,Weekday,Terlalu kering,Work Hours
60,2011-01-03,Spring,2011,Jan,14,0,Monday,Clear,0.26,0.2424,30.0,0.2836,11,66,77,Weekday,Terlalu kering,Work Hours
61,2011-01-03,Spring,2011,Jan,15,0,Monday,Clear,0.26,0.2424,30.0,0.2537,14,58,72,Weekday,Terlalu kering,Work Hours
62,2011-01-03,Spring,2011,Jan,16,0,Monday,Clear,0.26,0.2424,30.0,0.2537,9,67,76,Weekday,Terlalu kering,Work Hours
63,2011-01-03,Spring,2011,Jan,17,0,Monday,Clear,0.24,0.2273,30.0,0.2239,11,146,157,Weekday,Terlalu kering,Non-Work Hours
64,2011-01-03,Spring,2011,Jan,18,0,Monday,Clear,0.24,0.2576,32.0,0.1045,9,148,157,Weekday,Terlalu kering,Non-Work Hours
65,2011-01-03,Spring,2011,Jan,19,0,Monday,Clear,0.2,0.2576,47.0,0.0,8,102,110,Weekday,Ideal,Non-Work Hours
66,2011-01-03,Spring,2011,Jan,20,0,Monday,Clear,0.2,0.2273,47.0,0.1045,3,49,52,Weekday,Ideal,Non-Work Hours
67,2011-01-03,Spring,2011,Jan,21,0,Monday,Clear,0.18,0.197,64.0,0.1343,3,49,52,Weekday,Ideal,Non-Work Hours
68,2011-01-03,Spring,2011,Jan,22,0,Monday,Clear,0.14,0.1515,69.0,0.1343,0,20,20,Weekday,Terlalu Lembab,Non-Work Hours
69,2011-01-03,Spring,2011,Jan,23,0,Monday,Clear,0.18,0.2121,55.00000000000001,0.1045,1,11,12,Weekday,Ideal,Non-Work Hours
70,2011-01-04,Spring,2011,Jan,0,0,Tuesday,Clear,0.16,0.1818,55.00000000000001,0.1045,0,5,5,Weekday,Ideal,Non-Work Hours
71,2011-01-04,Spring,2011,Jan,1,0,Tuesday,Clear,0.16,0.1818,59.0,0.1045,0,2,2,Weekday,Ideal,Non-Work Hours
72,2011-01-04,Spring,2011,Jan,2,0,Tuesday,Clear,0.14,0.1515,63.0,0.1343,0,1,1,Weekday,Ideal,Non-Work Hours
73,2011-01-04,Spring,2011,Jan,4,0,Tuesday,Clear,0.14,0.1818,63.0,0.0896,0,2,2,Weekday,Ideal,Non-Work Hours
74,2011-01-04,Spring,2011,Jan,5,0,Tuesday,Clear,0.12,0.1515,68.0,0.1045,0,4,4,Weekday,Terlalu Lembab,Non-Work Hours
75,2011-01-04,Spring,2011,Jan,6,0,Tuesday,Clear,0.12,0.1515,74.0,0.1045,0,36,36,Weekday,Terlalu Lembab,Non-Work Hours
76,2011-01-04,Spring,2011,Jan,7,0,Tuesday,Clear,0.12,0.1515,74.0,0.1343,2,92,94,Weekday,Terlalu Lembab,Work Hours
77,2011-01-04,Spring,2011,Jan,8,0,Tuesday,Clear,0.14,0.1515,69.0,0.1642,2,177,179,Weekday,Terlalu Lembab,Work Hours
78,2011-01-04,Spring,2011,Jan,9,0,Tuesday,Clear,0.16,0.1515,64.0,0.2239,2,98,100,Weekday,Ideal,Work Hours
79,2011-01-04,Spring,2011,Jan,10,0,Tuesday,Misty,0.16,0.1364,69.0,0.3284,5,37,42,Weekday,Terlalu Lembab,Work Hours
80,2011-01-04,Spring,2011,Jan,11,0,Tuesday,Clear,0.22,0.2121,51.0,0.2985,7,50,57,Weekday,Ideal,Work Hours
81,2011-01-04,Spring,2011,Jan,12,0,Tuesday,Clear,0.22,0.2273,51.0,0.1642,12,66,78,Weekday,Ideal,Work Hours
82,2011-01-04,Spring,2011,Jan,13,0,Tuesday,Clear,0.24,0.2273,56.00000000000001,0.194,18,79,97,Weekday,Ideal,Work Hours
83,2011-01-04,Spring,2011,Jan,14,0,Tuesday,Clear,0.26,0.2576,52.0,0.2239,9,54,63,Weekday,Ideal,Work Hours
84,2011-01-04,Spring,2011,Jan,15,0,Tuesday,Clear,0.28,0.2727,52.0,0.2537,17,48,65,Weekday,Ideal,Work Hours
85,2011-01-04,Spring,2011,Jan,16,0,Tuesday,Clear,0.3,0.2879,49.0,0.2537,15,68,83,Weekday,Ideal,Work Hours
86,2011-01-04,Spring,2011,Jan,17,0,Tuesday,Clear,0.28,0.2727,48.0,0.2239,10,202,212,Weekday,Ideal,Non-Work Hours
87,2011-01-04,Spring,2011,Jan,18,0,Tuesday,Clear,0.26,0.2576,48.0,0.194,3,179,182,Weekday,Ideal,Non-Work Hours
88,2011-01-04,Spring,2011,Jan,19,0,Tuesday,Clear,0.24,0.2576,48.0,0.1045,2,110,112,Weekday,Ideal,Non-Work Hours
89,2011-01-04,Spring,2011,Jan,20,0,Tuesday,Clear,0.24,0.2576,48.0,0.1045,1,53,54,Weekday,Ideal,Non-Work Hours
90,2011-01-04,Spring,2011,Jan,21,0,Tuesday,Clear,0.22,0.2727,64.0,0.0,0,48,48,Weekday,Ideal,Non-Work Hours
91,2011-01-04,Spring,2011,Jan,22,0,Tuesday,Clear,0.22,0.2576,64.0,0.0896,1,34,35,Weekday,Ideal,Non-Work Hours
92,2011-01-04,Spring,2011,Jan,23,0,Tuesday,Clear,0.2,0.2273,69.0,0.0896,2,9,11,Weekday,Terlalu Lembab,Non-Work Hours
93,2011-01-05,Spring,2011,Jan,0,0,Wednesday,Clear,0.2,0.2576,64.0,0.0,0,6,6,Weekday,Ideal,Non-Work Hours
94,2011-01-05,Spring,2011,Jan,1,0,Wednesday,Clear,0.16,0.197,74.0,0.0896,0,6,6,Weekday,Terlalu Lembab,Non-Work Hours
95,2011-01-05,Spring,2011,Jan,2,0,Wednesday,Clear,0.16,0.197,74.0,0.0896,0,2,2,Weekday,Terlalu Lembab,Non-Work Hours
96,2011-01-05,Spring,2011,Jan,4,0,Wednesday,Clear,0.24,0.2273,48.0,0.2239,0,2,2,Weekday,Ideal,Non-Work Hours
97,2011-01-05,Spring,2011,Jan,5,0,Wednesday,Clear,0.22,0.2273,47.0,0.1642,0,3,3,Weekday,Ideal,Non-Work Hours
98,2011-01-05,Spring,2011,Jan,6,0,Wednesday,Clear,0.2,0.197,47.0,0.2239,0,33,33,Weekday,Ideal,Non-Work Hours
99,2011-01-05,Spring,2011,Jan,7,0,Wednesday,Clear,0.18,0.1818,43.0,0.194,1,87,88,Weekday,Terlalu kering,Work Hours
100,2011-01-05,Spring,2011,Jan,8,0,Wednesday,Clear,0.2,0.1818,40.0,0.2985,3,192,195,Weekday,Terlalu kering,Work Hours
101,2011-01-05,Spring,2011,Jan,9,0,Wednesday,Clear,0.22,0.197,37.0,0.3284,6,109,115,Weekday,Terlalu kering,Work Hours
102,2011-01-05,Spring,2011,Jan,10,0,Wednesday,Clear,0.22,0.197,37.0,0.3284,4,53,57,Weekday,Terlalu kering,Work Hours
103,2011-01-05,Spring,2011,Jan,11,0,Wednesday,Clear,0.26,0.2273,33.0,0.3284,12,34,46,Weekday,Terlalu kering,Work Hours
104,2011-01-05,Spring,2011,Jan,12,0,Wednesday,Clear,0.26,0.2273,33.0,0.3284,5,74,79,Weekday,Terlalu kering,Work Hours
105,2011-01-05,Spring,2011,Jan,13,0,Wednesday,Clear,0.28,0.2576,30.0,0.2985,6,65,71,Weekday,Terlalu kering,Work Hours
106,2011-01-05,Spring,2011,Jan,14,0,Wednesday,Clear,0.3,0.2879,28.000000000000004,0.194,10,52,62,Weekday,Terlalu kering,Work Hours
107,2011-01-05,Spring,2011,Jan,15,0,Wednesday,Clear,0.3,0.2879,28.000000000000004,0.194,7,55,62,Weekday,Terlalu kering,Work Hours
108,2011-01-05,Spring,2011,Jan,16,0,Wednesday,Clear,0.3,0.3182,28.000000000000004,0.0896,4,85,89,Weekday,Terlalu kering,Work Hours
109,2011-01-05,Spring,2011,Jan,17,0,Wednesday,Clear,0.24,0.2273,38.0,0.194,4,186,190,Weekday,Terlalu kering,Non-Work Hours
110,2011-01-05,Spring,2011,Jan,18,0,Wednesday,Clear,0.24,0.2424,38.0,0.1343,3,166,169,Weekday,Terlalu kering,Non-Work Hours
111,2011-01-05,Spring,2011,Jan,19,0,Wednesday,Clear,0.24,0.2576,38.0,0.1045,5,127,132,Weekday,Terlalu kering,Non-Work Hours
112,2011-01-05,Spring,2011,Jan,20,0,Wednesday,Clear,0.22,0.2273,47.0,0.1642,7,82,89,Weekday,Ideal,Non-Work Hours
113,2011-01-05,Spring,2011,Jan,21,0,Wednesday,Clear,0.2,0.197,51.0,0.194,3,40,43,Weekday,Ideal,Non-Work Hours
114,2011-01-05,Spring,2011,Jan,22,0,Wednesday,Clear,0.18,0.197,55.00000000000001,0.1343,1,41,42,Weekday,Ideal,Non-Work Hours
115,2011-01-05,Spring,2011,Jan,23,0,Wednesday,Clear,0.2,0.2576,47.0,0.0,1,18,19,Weekday,Ideal,Non-Work Hours
116,2011-01-06,Spring,2011,Jan,0,0,Thursday,Clear,0.18,0.2424,55.00000000000001,0.0,0,11,11,Weekday,Ideal,Non-Work Hours
117,2011-01-06,Spring,2011,Jan,1,0,Thursday,Clear,0.16,0.2273,64.0,0.0,0,4,4,Weekday,Ideal,Non-Work Hours
118,2011-01-06,Spring,2011,Jan,2,0,Thursday,Clear,0.16,0.2273,64.0,0.0,0,2,2,Weekday,Ideal,Non-Work Hours
119,2011-01-06,Spring,2011,Jan,4,0,Thursday,Misty,0.16,0.197,64.0,0.0896,0,1,1,Weekday,Ideal,Non-Work Hours
120,2011-01-06,Spring,2011,Jan,5,0,Thursday,Misty,0.14,0.1818,69.0,0.0896,0,4,4,Weekday,Terlalu Lembab,Non-Work Hours
121,2011-01-06,Spring,2011,Jan,6,0,Thursday,Misty,0.14,0.1667,63.0,0.1045,0,36,36,Weekday,Ideal,Non-Work Hours
122,2011-01-06,Spring,2011,Jan,7,0,Thursday,Misty,0.16,0.2273,59.0,0.0,0,95,95,Weekday,Ideal,Work Hours
123,2011-01-06,Spring,2011,Jan,8,0,Thursday,Clear,0.16,0.2273,59.0,0.0,3,216,219,Weekday,Ideal,Work Hours
124,2011-01-06,Spring,2011,Jan,9,0,Thursday,Misty,0.18,0.2424,51.0,0.0,6,116,122,Weekday,Ideal,Work Hours
125,2011-01-06,Spring,2011,Jan,10,0,Thursday,Clear,0.2,0.2576,47.0,0.0,3,42,45,Weekday,Ideal,Work Hours
126,2011-01-06,Spring,2011,Jan,11,0,Thursday,Clear,0.22,0.2576,44.0,0.0896,2,57,59,Weekday,Terlalu kering,Work Hours
127,2011-01-06,Spring,2011,Jan,12,0,Thursday,Clear,0.26,0.2879,35.0,0.0,6,78,84,Weekday,Terlalu kering,Work Hours
128,2011-01-06,Spring,2011,Jan,13,0,Thursday,Clear,0.26,0.2727,35.0,0.1045,12,55,67,Weekday,Terlalu kering,Work Hours
129,2011-01-06,Spring,2011,Jan,14,0,Thursday,Clear,0.28,0.2727,36.0,0.1642,11,59,70,Weekday,Terlalu kering,Work Hours
130,2011-01-06,Spring,2011,Jan,15,0,Thursday,Clear,0.28,0.2727,36.0,0.0,8,54,62,Weekday,Terlalu kering,Work Hours
131,2011-01-06,Spring,2011,Jan,16,0,Thursday,Clear,0.26,0.2576,38.0,0.1642,12,74,86,Weekday,Terlalu kering,Work Hours
132,2011-01-06,Spring,2011,Jan,17,0,Thursday,Clear,0.22,0.2273,51.0,0.1642,9,163,172,Weekday,Ideal,Non-Work Hours
133,2011-01-06,Spring,2011,Jan,18,0,Thursday,Clear,0.22,0.2273,51.0,0.1343,5,158,163,Weekday,Ideal,Non-Work Hours
134,2011-01-06,Spring,2011,Jan,19,0,Thursday,Clear,0.22,0.2576,55.00000000000001,0.0896,3,109,112,Weekday,Ideal,Non-Work Hours
135,2011-01-06,Spring,2011,Jan,20,0,Thursday,Clear,0.2,0.2121,51.0,0.1642,3,66,69,Weekday,Ideal,Non-Work Hours
136,2011-01-06,Spring,2011,Jan,21,0,Thursday,Misty,0.22,0.2121,55.00000000000001,0.2239,0,48,48,Weekday,Ideal,Non-Work Hours
137,2011-01-06,Spring,2011,Jan,22,0,Thursday,Misty,0.22,0.2121,51.0,0.2836,1,51,52,Weekday,Ideal,Non-Work Hours
138,2011-01-06,Spring,2011,Jan,23,0,Thursday,Misty,0.2,0.197,59.0,0.194,4,19,23,Weekday,Ideal,Non-Work Hours
139,2011-01-07,Spring,2011,Jan,0,0,Friday,Misty,0.2,0.197,64.0,0.194,4,13,17,Weekday,Ideal,Non-Work Hours
140,2011-01-07,Spring,2011,Jan,1,0,Friday,Misty,0.2,0.197,69.0,0.2239,2,5,7,Weekday,Terlalu Lembab,Non-Work Hours
141,2011-01-07,Spring,2011,Jan,2,0,Friday,Misty,0.2,0.197,69.0,0.2239,0,1,1,Weekday,Terlalu Lembab,Non-Work Hours
142,2011-01-07,Spring,2011,Jan,4,0,Friday,Misty,0.2,0.2121,69.0,0.1343,0,1,1,Weekday,Terlalu Lembab,Non-Work Hours
143,2011-01-07,Spring,2011,Jan,5,0,Friday,Light_rainsnow,0.22,0.2727,55.00000000000001,0.0,0,5,5,Weekday,Ideal,Non-Work Hours
144,2011-01-07,Spring,2011,Jan,6,0,Friday,Misty,0.2,0.2576,69.0,0.0,8,26,34,Weekday,Terlalu Lembab,Non-Work Hours
145,2011-01-07,Spring,2011,Jan,7,0,Friday,Clear,0.2,0.2121,69.0,0.1343,8,76,84,Weekday,Terlalu Lembab,Work Hours
146,2011-01-07,Spring,2011,Jan,8,0,Friday,Clear,0.2,0.197,51.0,0.2537,20,190,210,Weekday,Ideal,Work Hours
147,2011-01-07,Spring,2011,Jan,9,0,Friday,Clear,0.2,0.1818,47.0,0.2985,9,125,134,Weekday,Ideal,Work Hours
148,2011-01-07,Spring,2011,Jan,10,0,Friday,Clear,0.22,0.197,37.0,0.3284,16,47,63,Weekday,Terlalu kering,Work Hours
149,2011-01-07,Spring,2011,Jan,11,0,Friday,Misty,0.2,0.197,40.0,0.2239,19,48,67,Weekday,Terlalu kering,Work Hours
150,2011-01-07,Spring,2011,Jan,12,0,Friday,Misty,0.2,0.197,37.0,0.2537,9,50,59,Weekday,Terlalu kering,Work Hours
151,2011-01-07,Spring,2011,Jan,13,0,Friday,Misty,0.2,0.1818,37.0,0.2836,9,64,73,Weekday,Terlalu kering,Work Hours
152,2011-01-07,Spring,2011,Jan,14,0,Friday,Misty,0.2,0.197,40.0,0.2537,7,43,50,Weekday,Terlalu kering,Work Hours
153,2011-01-07,Spring,2011,Jan,15,0,Friday,Misty,0.2,0.2121,37.0,0.1642,9,63,72,Weekday,Terlalu kering,Work Hours
154,2011-01-07,Spring,2011,Jan,16,0,Friday,Misty,0.2,0.2121,37.0,0.1642,5,82,87,Weekday,Terlalu kering,Work Hours
155,2011-01-07,Spring,2011,Jan,17,0,Friday,Misty,0.2,0.2576,37.0,0.0,9,178,187,Weekday,Terlalu kering,Non-Work Hours
156,2011-01-07,Spring,2011,Jan,18,0,Friday,Clear,0.2,0.2273,40.0,0.0896,7,116,123,Weekday,Terlalu kering,Non-Work Hours
157,2011-01-07,Spring,2011,Jan,19,0,Friday,Clear,0.16,0.197,55.00000000000001,0.0896,3,92,95,Weekday,Ideal,Non-Work Hours
158,2011-01-07,Spring,2011,Jan,20,0,Friday,Clear,0.18,0.2121,47.0,0.1045,1,50,51,Weekday,Ideal,Non-Work Hours
159,2011-01-07,Spring,2011,Jan,21,0,Friday,Clear,0.18,0.197,47.0,0.1343,0,39,39,Weekday,Ideal,Non-Work Hours
160,2011-01-07,Spring,2011,Jan,22,0,Friday,Misty,0.18,0.197,43.0,0.1642,2,34,36,Weekday,Terlalu kering,Non-Work Hours
161,2011-01-07,Spring,2011,Jan,23,0,Friday,Misty,0.18,0.197,51.0,0.1642,1,14,15,Weekday,Ideal,Non-Work Hours
162,2011-01-08,Spring,2011,Jan,0,0,Saturday,Misty,0.18,0.197,51.0,0.1642,1,24,25,Weekend,Ideal,Non-Work Hours
163,2011-01-08,Spring,2011,Jan,1,0,Saturday,Misty,0.18,0.2121,55.00000000000001,0.0896,1,15,16,Weekend,Ideal,Non-Work Hours
164,2011-01-08,Spring,2011,Jan,2,0,Saturday,Misty,0.18,0.2424,55.00000000000001,0.0,3,13,16,Weekend,Ideal,Non-Work Hours
165,2011-01-08,Spring,2011,Jan,3,0,Saturday,Light_rainsnow,0.18,0.197,55.00000000000001,0.1642,0,7,7,Weekend,Ideal,Non-Work Hours
166,2011-01-08,Spring,2011,Jan,4,0,Saturday,Light_rainsnow,0.18,0.197,55.00000000000001,0.1642,0,1,1,Weekend,Ideal,Non-Work Hours
167,2011-01-08,Spring,2011,Jan,5,0,Saturday,Misty,0.16,0.1667,74.0,0.1642,0,5,5,Weekend,Terlalu Lembab,Non-Work Hours
168,2011-01-08,Spring,2011,Jan,6,0,Saturday,Misty,0.16,0.1667,74.0,0.1642,0,2,2,Weekend,Terlalu Lembab,Non-Work Hours
169,2011-01-08,Spring,2011,Jan,7,0,Saturday,Misty,0.16,0.1818,74.0,0.1045,1,8,9,Weekend,Terlalu Lembab,Work Hours
170,2011-01-08,Spring,2011,Jan,8,0,Saturday,Light_rainsnow,0.16,0.1818,93.0,0.1045,0,15,15,Weekend,Terlalu Lembab,Work Hours
171,2011-01-08,Spring,2011,Jan,9,0,Saturday,Light_rainsnow,0.16,0.1818,93.0,0.1045,0,20,20,Weekend,Terlalu Lembab,Work Hours
172,2011-01-08,Spring,2011,Jan,10,0,Saturday,Misty,0.18,0.197,80.0,0.1642,5,56,61,Weekend,Terlalu Lembab,Work Hours
173,2011-01-08,Spring,2011,Jan,11,0,Saturday,Misty,0.2,0.1818,69.0,0.3881,2,60,62,Weekend,Terlalu Lembab,Work Hours
174,2011-01-08,Spring,2011,Jan,12,0,Saturday,Misty,0.2,0.1818,59.0,0.3582,8,90,98,Weekend,Ideal,Work Hours
175,2011-01-08,Spring,2011,Jan,13,0,Saturday,Clear,0.2,0.1818,44.0,0.3284,7,95,102,Weekend,Terlalu kering,Work Hours
176,2011-01-08,Spring,2011,Jan,14,0,Saturday,Clear,0.2,0.1667,32.0,0.4925,12,83,95,Weekend,Terlalu kering,Work Hours
177,2011-01-08,Spring,2011,Jan,15,0,Saturday,Clear,0.2,0.1667,32.0,0.4478,5,69,74,Weekend,Terlalu kering,Work Hours
178,2011-01-08,Spring,2011,Jan,16,0,Saturday,Clear,0.18,0.1364,28.999999999999996,0.4478,8,68,76,Weekend,Terlalu kering,Work Hours
